Geography,variable,population
British Columbia / Colombie-Britannique ( 26.1%),Angolan,0
British Columbia / Colombie-Britannique ( 26.1%),Ashanti,60
British Columbia / Colombie-Britannique ( 26.1%),Beninese,15
British Columbia / Colombie-Britannique ( 26.1%),Burkinabe,0
British Columbia / Colombie-Britannique ( 26.1%),Cameroonian,130
British Columbia / Colombie-Britannique ( 26.1%),Chadian,0
British Columbia / Colombie-Britannique ( 26.1%),Congolese,680
British Columbia / Colombie-Britannique ( 26.1%),Gabonese,25
British Columbia / Colombie-Britannique ( 26.1%),Gambian,20
British Columbia / Colombie-Britannique ( 26.1%),Ghanaian,1095
British Columbia / Colombie-Britannique ( 26.1%),Guinean,65
British Columbia / Colombie-Britannique ( 26.1%),Ibo,175
British Columbia / Colombie-Britannique ( 26.1%),Ivorian,15
British Columbia / Colombie-Britannique ( 26.1%),Liberian,295
British Columbia / Colombie-Britannique ( 26.1%),Malian,60
British Columbia / Colombie-Britannique ( 26.1%),Nigerian,1700
British Columbia / Colombie-Britannique ( 26.1%),Peulh,0
British Columbia / Colombie-Britannique ( 26.1%),Senegalese,75
British Columbia / Colombie-Britannique ( 26.1%),Sierra Leonean,60
British Columbia / Colombie-Britannique ( 26.1%),Togolese,110
British Columbia / Colombie-Britannique ( 26.1%),Yoruba,290
British Columbia / Colombie-Britannique ( 26.1%),"Central and West African origins, n.i.e.",365
British Columbia / Colombie-Britannique ( 26.1%),North African origins,7115
British Columbia / Colombie-Britannique ( 26.1%),Algerian,700
British Columbia / Colombie-Britannique ( 26.1%),Berber,185
British Columbia / Colombie-Britannique ( 26.1%),Coptic,90
British Columbia / Colombie-Britannique ( 26.1%),Dinka,35
British Columbia / Colombie-Britannique ( 26.1%),Egyptian,3145
British Columbia / Colombie-Britannique ( 26.1%),Libyan,415
British Columbia / Colombie-Britannique ( 26.1%),Maure,65
British Columbia / Colombie-Britannique ( 26.1%),Moroccan,1360
British Columbia / Colombie-Britannique ( 26.1%),Sudanese,910
British Columbia / Colombie-Britannique ( 26.1%),Tunisian,320
British Columbia / Colombie-Britannique ( 26.1%),"North African origins, n.i.e.",140
British Columbia / Colombie-Britannique ( 26.1%),Southern and East African origins,19805
British Columbia / Colombie-Britannique ( 26.1%),Afrikaner,635
British Columbia / Colombie-Britannique ( 26.1%),Amhara,140
British Columbia / Colombie-Britannique ( 26.1%),"Bantu, n.o.s.",75
British Columbia / Colombie-Britannique ( 26.1%),Burundian,155
British Columbia / Colombie-Britannique ( 26.1%),Eritrean,1110
British Columbia / Colombie-Britannique ( 26.1%),Ethiopian,1815
British Columbia / Colombie-Britannique ( 26.1%),Harari,0
British Columbia / Colombie-Britannique ( 26.1%),Kenyan,1025
British Columbia / Colombie-Britannique ( 26.1%),Malagasy,25
British Columbia / Colombie-Britannique ( 26.1%),Mauritian,555
British Columbia / Colombie-Britannique ( 26.1%),Oromo,105
British Columbia / Colombie-Britannique ( 26.1%),Rwandan,215
British Columbia / Colombie-Britannique ( 26.1%),Seychellois,25
British Columbia / Colombie-Britannique ( 26.1%),Somali,1230
British Columbia / Colombie-Britannique ( 26.1%),South African,10335
British Columbia / Colombie-Britannique ( 26.1%),Tanzanian,510
British Columbia / Colombie-Britannique ( 26.1%),Tigrian,90
British Columbia / Colombie-Britannique ( 26.1%),Ugandan,575
British Columbia / Colombie-Britannique ( 26.1%),Zambian,175
British Columbia / Colombie-Britannique ( 26.1%),Zimbabwean,650
British Columbia / Colombie-Britannique ( 26.1%),Zulu,85
British Columbia / Colombie-Britannique ( 26.1%),"Southern and East African origins, n.i.e.",1245
British Columbia / Colombie-Britannique ( 26.1%),Other African origins,16195
British Columbia / Colombie-Britannique ( 26.1%),"Black, n.o.s.",1785
British Columbia / Colombie-Britannique ( 26.1%),"Other African origins, n.i.e.",14500
British Columbia / Colombie-Britannique ( 26.1%),Asian origins,1122445
British Columbia / Colombie-Britannique ( 26.1%),West Central Asian and Middle Eastern origins,77145
British Columbia / Colombie-Britannique ( 26.1%),Afghan,5310
British Columbia / Colombie-Britannique ( 26.1%),"Arab, n.o.s.",5565
British Columbia / Colombie-Britannique ( 26.1%),Armenian,3335
British Columbia / Colombie-Britannique ( 26.1%),Assyrian,445
British Columbia / Colombie-Britannique ( 26.1%),Azerbaijani,770
British Columbia / Colombie-Britannique ( 26.1%),Georgian,500
British Columbia / Colombie-Britannique ( 26.1%),Iranian,39285
British Columbia / Colombie-Britannique ( 26.1%),Iraqi,3145
British Columbia / Colombie-Britannique ( 26.1%),Israeli,1190
British Columbia / Colombie-Britannique ( 26.1%),Jordanian,525
British Columbia / Colombie-Britannique ( 26.1%),Kazakh,270
British Columbia / Colombie-Britannique ( 26.1%),Kurd,1435
British Columbia / Colombie-Britannique ( 26.1%),Kuwaiti,155
British Columbia / Colombie-Britannique ( 26.1%),Lebanese,6435
British Columbia / Colombie-Britannique ( 26.1%),Palestinian,1630
British Columbia / Colombie-Britannique ( 26.1%),Pashtun,335
British Columbia / Colombie-Britannique ( 26.1%),Saudi Arabian,1490
British Columbia / Colombie-Britannique ( 26.1%),Syrian,1785
British Columbia / Colombie-Britannique ( 26.1%),Tajik,405
British Columbia / Colombie-Britannique ( 26.1%),Tatar,315
British Columbia / Colombie-Britannique ( 26.1%),Turk,5495
British Columbia / Colombie-Britannique ( 26.1%),Uighur,115
British Columbia / Colombie-Britannique ( 26.1%),Uzbek,270
British Columbia / Colombie-Britannique ( 26.1%),Yemeni,200
British Columbia / Colombie-Britannique ( 26.1%),"West Central Asian and Middle Eastern origins, n.i.e.",1575
British Columbia / Colombie-Britannique ( 26.1%),South Asian origins,311265
British Columbia / Colombie-Britannique ( 26.1%),Bangladeshi,1210
British Columbia / Colombie-Britannique ( 26.1%),Bengali,615
British Columbia / Colombie-Britannique ( 26.1%),East Indian,274060
British Columbia / Colombie-Britannique ( 26.1%),Goan,270
British Columbia / Colombie-Britannique ( 26.1%),Gujarati,560
British Columbia / Colombie-Britannique ( 26.1%),Kashmiri,65
British Columbia / Colombie-Britannique ( 26.1%),Nepali,1255
British Columbia / Colombie-Britannique ( 26.1%),Pakistani,9770
British Columbia / Colombie-Britannique ( 26.1%),Punjabi,24240
British Columbia / Colombie-Britannique ( 26.1%),Sinhalese,595
British Columbia / Colombie-Britannique ( 26.1%),Sri Lankan,5215
British Columbia / Colombie-Britannique ( 26.1%),Tamil,1260
British Columbia / Colombie-Britannique ( 26.1%),"South Asian origins, n.i.e.",4460
British Columbia / Colombie-Britannique ( 26.1%),East and Southeast Asian origins,739415
British Columbia / Colombie-Britannique ( 26.1%),Burmese,2165
British Columbia / Colombie-Britannique ( 26.1%),Cambodian (Khmer),2385
British Columbia / Colombie-Britannique ( 26.1%),Chinese_3,464805
British Columbia / Colombie-Britannique ( 26.1%),Filipino_3,135990
British Columbia / Colombie-Britannique ( 26.1%),Hmong,200
British Columbia / Colombie-Britannique ( 26.1%),Indonesian,5540
British Columbia / Colombie-Britannique ( 26.1%),Japanese_3,45895
British Columbia / Colombie-Britannique ( 26.1%),Korean_3,55450
British Columbia / Colombie-Britannique ( 26.1%),Laotian,2010
British Columbia / Colombie-Britannique ( 26.1%),Malaysian,4350
British Columbia / Colombie-Britannique ( 26.1%),Mongolian,1345
British Columbia / Colombie-Britannique ( 26.1%),Singaporean,930
British Columbia / Colombie-Britannique ( 26.1%),Taiwanese,17210
British Columbia / Colombie-Britannique ( 26.1%),Thai,3865
British Columbia / Colombie-Britannique ( 26.1%),Tibetan,305
British Columbia / Colombie-Britannique ( 26.1%),Vietnamese,35850
British Columbia / Colombie-Britannique ( 26.1%),"East and Southeast Asian origins, n.i.e.",1335
British Columbia / Colombie-Britannique ( 26.1%),Other Asian origins,2150
British Columbia / Colombie-Britannique ( 26.1%),"Other Asian origins, n.i.e.",2150
British Columbia / Colombie-Britannique ( 26.1%),Oceania origins,35770
British Columbia / Colombie-Britannique ( 26.1%),Australian,12765
British Columbia / Colombie-Britannique ( 26.1%),New Zealander,5720
British Columbia / Colombie-Britannique ( 26.1%),Pacific Islands origins,17690
British Columbia / Colombie-Britannique ( 26.1%),Fijian,13905
British Columbia / Colombie-Britannique ( 26.1%),Hawaiian,2035
British Columbia / Colombie-Britannique ( 26.1%),Maori,760
British Columbia / Colombie-Britannique ( 26.1%),"Polynesian, n.o.s.",400
British Columbia / Colombie-Britannique ( 26.1%),Samoan,370
British Columbia / Colombie-Britannique ( 26.1%),"Pacific Islands origins, n.i.e.",585
British Columbia / Colombie-Britannique ( 26.1%),Males in private households by ethnic origins,2125625
British Columbia / Colombie-Britannique ( 26.1%),North American Aboriginal origins_1,128875
British Columbia / Colombie-Britannique ( 26.1%),First Nations (North American Indian)_1,97810
British Columbia / Colombie-Britannique ( 26.1%),Inuit_1,1235
British Columbia / Colombie-Britannique ( 26.1%),M<e9>tis_1,33530
British Columbia / Colombie-Britannique ( 26.1%),Other North American origins_1,440920
British Columbia / Colombie-Britannique ( 26.1%),Acadian_1,1915
British Columbia / Colombie-Britannique ( 26.1%),American_1,37820
British Columbia / Colombie-Britannique ( 26.1%),Canadian_1,412210
British Columbia / Colombie-Britannique ( 26.1%),New Brunswicker_1,0
British Columbia / Colombie-Britannique ( 26.1%),Newfoundlander_1,890
British Columbia / Colombie-Britannique ( 26.1%),Nova Scotian_1,95
British Columbia / Colombie-Britannique ( 26.1%),Ontarian_1,45
British Columbia / Colombie-Britannique ( 26.1%),Qu<e9>b<e9>cois_1,740
British Columbia / Colombie-Britannique ( 26.1%),"Other North American origins, n.i.e._1",330
British Columbia / Colombie-Britannique ( 26.1%),European origins_1,1387940
British Columbia / Colombie-Britannique ( 26.1%),British Isles origins_1,936940
British Columbia / Colombie-Britannique ( 26.1%),Channel Islander_1,150
British Columbia / Colombie-Britannique ( 26.1%),Cornish_1,340
British Columbia / Colombie-Britannique ( 26.1%),English_1,585220
British Columbia / Colombie-Britannique ( 26.1%),Irish_1,304790
British Columbia / Colombie-Britannique ( 26.1%),Manx_1,695
British Columbia / Colombie-Britannique ( 26.1%),Scottish_1,404615
British Columbia / Colombie-Britannique ( 26.1%),Welsh_1,50860
British Columbia / Colombie-Britannique ( 26.1%),"British Isles origins, n.i.e._1",52010
British Columbia / Colombie-Britannique ( 26.1%),French origins_1,176170
British Columbia / Colombie-Britannique ( 26.1%),Alsatian_1,80
British Columbia / Colombie-Britannique ( 26.1%),Breton_1,40
British Columbia / Colombie-Britannique ( 26.1%),French_1,176085
British Columbia / Colombie-Britannique ( 26.1%),Western European origins (except French origins)_1,390605
British Columbia / Colombie-Britannique ( 26.1%),Austrian_1,22240
British Columbia / Colombie-Britannique ( 26.1%),Belgian_1,9425
British Columbia / Colombie-Britannique ( 26.1%),Dutch_1,101515
British Columbia / Colombie-Britannique ( 26.1%),Flemish_1,1115
British Columbia / Colombie-Britannique ( 26.1%),Frisian_1,535
British Columbia / Colombie-Britannique ( 26.1%),German_1,277545
British Columbia / Colombie-Britannique ( 26.1%),Luxembourger_1,340
British Columbia / Colombie-Britannique ( 26.1%),Swiss_1,14440
British Columbia / Colombie-Britannique ( 26.1%),"Western European origins, n.i.e._1",180
British Columbia / Colombie-Britannique ( 26.1%),Northern European origins (except British Isles origins)_1,160750
British Columbia / Colombie-Britannique ( 26.1%),Danish_1,28380
British Columbia / Colombie-Britannique ( 26.1%),Finnish_1,15480
British Columbia / Colombie-Britannique ( 26.1%),Icelandic_1,10890
British Columbia / Colombie-Britannique ( 26.1%),Norwegian_1,65250
British Columbia / Colombie-Britannique ( 26.1%),Swedish_1,49745
British Columbia / Colombie-Britannique ( 26.1%),"Northern European origins, n.i.e._1",6200
British Columbia / Colombie-Britannique ( 26.1%),Eastern European origins_1,249940
British Columbia / Colombie-Britannique ( 26.1%),Bulgarian_1,1615
British Columbia / Colombie-Britannique ( 26.1%),Byelorussian_1,1075
British Columbia / Colombie-Britannique ( 26.1%),Czech_1,9875
British Columbia / Colombie-Britannique ( 26.1%),"Czechoslovakian, n.o.s._1",3835
British Columbia / Colombie-Britannique ( 26.1%),Estonian_1,1695
British Columbia / Colombie-Britannique ( 26.1%),Hungarian_1,25210
British Columbia / Colombie-Britannique ( 26.1%),Latvian_1,2175
British Columbia / Colombie-Britannique ( 26.1%),Lithuanian_1,2670
British Columbia / Colombie-Britannique ( 26.1%),Moldovan_1,415
British Columbia / Colombie-Britannique ( 26.1%),Polish_1,64215
British Columbia / Colombie-Britannique ( 26.1%),Romanian_1,13900
British Columbia / Colombie-Britannique ( 26.1%),Russian_1,57955
British Columbia / Colombie-Britannique ( 26.1%),Slovak_1,4745
British Columbia / Colombie-Britannique ( 26.1%),Ukrainian_1,97295
British Columbia / Colombie-Britannique ( 26.1%),"Eastern European origins, n.i.e._1",1030
British Columbia / Colombie-Britannique ( 26.1%),Southern European origins_1,150000
British Columbia / Colombie-Britannique ( 26.1%),Albanian_1,725
British Columbia / Colombie-Britannique ( 26.1%),Bosnian_1,1410
British Columbia / Colombie-Britannique ( 26.1%),Croatian_1,10095
British Columbia / Colombie-Britannique ( 26.1%),Cypriot_1,165
British Columbia / Colombie-Britannique ( 26.1%),Greek_1,10315
British Columbia / Colombie-Britannique ( 26.1%),Italian_1,75670
British Columbia / Colombie-Britannique ( 26.1%),Kosovar_1,175
British Columbia / Colombie-Britannique ( 26.1%),Macedonian_1,435
British Columbia / Colombie-Britannique ( 26.1%),Maltese_1,1185
British Columbia / Colombie-Britannique ( 26.1%),Montenegrin_1,185
British Columbia / Colombie-Britannique ( 26.1%),Portuguese_1,18170
British Columbia / Colombie-Britannique ( 26.1%),Serbian_1,5190
British Columbia / Colombie-Britannique ( 26.1%),Sicilian_1,460
British Columbia / Colombie-Britannique ( 26.1%),Slovenian_1,2475
British Columbia / Colombie-Britannique ( 26.1%),Spanish_1,27120
British Columbia / Colombie-Britannique ( 26.1%),"Yugoslavian, n.o.s._1",4625
British Columbia / Colombie-Britannique ( 26.1%),"Southern European origins, n.i.e._1",85
British Columbia / Colombie-Britannique ( 26.1%),Other European origins_1,23495
British Columbia / Colombie-Britannique ( 26.1%),Basque_1,400
British Columbia / Colombie-Britannique ( 26.1%),Jewish_1,16080
British Columbia / Colombie-Britannique ( 26.1%),Roma (Gypsy)_1,460
British Columbia / Colombie-Britannique ( 26.1%),"Slavic, n.o.s._1",490
British Columbia / Colombie-Britannique ( 26.1%),"Other European origins, n.i.e._1",6235
British Columbia / Colombie-Britannique ( 26.1%),Caribbean origins_1,10225
British Columbia / Colombie-Britannique ( 26.1%),Antiguan_1,105
British Columbia / Colombie-Britannique ( 26.1%),Bahamian_1,135
British Columbia / Colombie-Britannique ( 26.1%),Barbadian_1,680
British Columbia / Colombie-Britannique ( 26.1%),Bermudan_1,105
British Columbia / Colombie-Britannique ( 26.1%),Carib_1,125
British Columbia / Colombie-Britannique ( 26.1%),Cuban_1,690
British Columbia / Colombie-Britannique ( 26.1%),Dominican_1,195
British Columbia / Colombie-Britannique ( 26.1%),Grenadian_1,120
British Columbia / Colombie-Britannique ( 26.1%),Haitian_1,380
British Columbia / Colombie-Britannique ( 26.1%),Jamaican_1,3980
British Columbia / Colombie-Britannique ( 26.1%),Kittitian/Nevisian_1,15
British Columbia / Colombie-Britannique ( 26.1%),Martinican_1,0
British Columbia / Colombie-Britannique ( 26.1%),Montserratan_1,0
British Columbia / Colombie-Britannique ( 26.1%),Puerto Rican_1,260
British Columbia / Colombie-Britannique ( 26.1%),St. Lucian_1,90
British Columbia / Colombie-Britannique ( 26.1%),Trinidadian/Tobagonian_1,1920
British Columbia / Colombie-Britannique ( 26.1%),Vincentian/Grenadinian_1,210
British Columbia / Colombie-Britannique ( 26.1%),"West Indian, n.o.s._1",900
British Columbia / Colombie-Britannique ( 26.1%),"Caribbean origins, n.i.e._1",680
British Columbia / Colombie-Britannique ( 26.1%),"Latin, Central and South American origins_1",25605
British Columbia / Colombie-Britannique ( 26.1%),Aboriginal from Central/South America (except Maya)_1,840
British Columbia / Colombie-Britannique ( 26.1%),Argentinian_1,590
British Columbia / Colombie-Britannique ( 26.1%),Belizean_1,95
British Columbia / Colombie-Britannique ( 26.1%),Bolivian_1,125
British Columbia / Colombie-Britannique ( 26.1%),Brazilian_1,1480
British Columbia / Colombie-Britannique ( 26.1%),Chilean_1,2275
British Columbia / Colombie-Britannique ( 26.1%),Colombian_1,2085
British Columbia / Colombie-Britannique ( 26.1%),Costa Rican_1,245
British Columbia / Colombie-Britannique ( 26.1%),Ecuadorian_1,330
British Columbia / Colombie-Britannique ( 26.1%),Guatemalan_1,1075
British Columbia / Colombie-Britannique ( 26.1%),Guyanese_1,695
British Columbia / Colombie-Britannique ( 26.1%),Hispanic_1,675
British Columbia / Colombie-Britannique ( 26.1%),Honduran_1,510
British Columbia / Colombie-Britannique ( 26.1%),Maya_1,390
British Columbia / Colombie-Britannique ( 26.1%),Mexican_1,7885
British Columbia / Colombie-Britannique ( 26.1%),Nicaraguan_1,610
British Columbia / Colombie-Britannique ( 26.1%),Panamanian_1,135
British Columbia / Colombie-Britannique ( 26.1%),Paraguayan_1,440
British Columbia / Colombie-Britannique ( 26.1%),Peruvian_1,1315
British Columbia / Colombie-Britannique ( 26.1%),Salvadorean_1,3830
British Columbia / Colombie-Britannique ( 26.1%),Uruguayan_1,165
British Columbia / Colombie-Britannique ( 26.1%),Venezuelan_1,515
British Columbia / Colombie-Britannique ( 26.1%),"Latin, Central and South American origins, n.i.e._1",1060
British Columbia / Colombie-Britannique ( 26.1%),African origins_1,23570
British Columbia / Colombie-Britannique ( 26.1%),Central and West African origins_1,2640
British Columbia / Colombie-Britannique ( 26.1%),Akan_1,25
British Columbia / Colombie-Britannique ( 26.1%),Angolan_1,0
British Columbia / Colombie-Britannique ( 26.1%),Ashanti_1,30
British Columbia / Colombie-Britannique ( 26.1%),Beninese_1,0
British Columbia / Colombie-Britannique ( 26.1%),Burkinabe_1,0
British Columbia / Colombie-Britannique ( 26.1%),Cameroonian_1,75
British Columbia / Colombie-Britannique ( 26.1%),Chadian_1,0
British Columbia / Colombie-Britannique ( 26.1%),Congolese_1,310
British Columbia / Colombie-Britannique ( 26.1%),Gabonese_1,0
British Columbia / Colombie-Britannique ( 26.1%),Gambian_1,20
British Columbia / Colombie-Britannique ( 26.1%),Ghanaian_1,550
British Columbia / Colombie-Britannique ( 26.1%),Guinean_1,20
British Columbia / Colombie-Britannique ( 26.1%),Ibo_1,70
British Columbia / Colombie-Britannique ( 26.1%),Ivorian_1,0
British Columbia / Colombie-Britannique ( 26.1%),Liberian_1,145
British Columbia / Colombie-Britannique ( 26.1%),Malian_1,40
British Columbia / Colombie-Britannique ( 26.1%),Nigerian_1,950
British Columbia / Colombie-Britannique ( 26.1%),Peulh_1,0
British Columbia / Colombie-Britannique ( 26.1%),Senegalese_1,45
British Columbia / Colombie-Britannique ( 26.1%),Sierra Leonean_1,40
British Columbia / Colombie-Britannique ( 26.1%),Togolese_1,85
British Columbia / Colombie-Britannique ( 26.1%),Yoruba_1,195
British Columbia / Colombie-Britannique ( 26.1%),"Central and West African origins, n.i.e._1",205
British Columbia / Colombie-Britannique ( 26.1%),North African origins_1,3795
British Columbia / Colombie-Britannique ( 26.1%),Algerian_1,395
British Columbia / Colombie-Britannique ( 26.1%),Berber_1,120
British Columbia / Colombie-Britannique ( 26.1%),Coptic_1,35
British Columbia / Colombie-Britannique ( 26.1%),Dinka_1,30
British Columbia / Colombie-Britannique ( 26.1%),Egyptian_1,1655
British Columbia / Colombie-Britannique ( 26.1%),Libyan_1,225
British Columbia / Colombie-Britannique ( 26.1%),Maure_1,25
British Columbia / Colombie-Britannique ( 26.1%),Moroccan_1,720
British Columbia / Colombie-Britannique ( 26.1%),Sudanese_1,480
British Columbia / Colombie-Britannique ( 26.1%),Tunisian_1,160
British Columbia / Colombie-Britannique ( 26.1%),"North African origins, n.i.e._1",90
British Columbia / Colombie-Britannique ( 26.1%),Southern and East African origins_1,9570
British Columbia / Colombie-Britannique ( 26.1%),Afrikaner_1,305
British Columbia / Colombie-Britannique ( 26.1%),Amhara_1,85
British Columbia / Colombie-Britannique ( 26.1%),"Bantu, n.o.s._1",55
British Columbia / Colombie-Britannique ( 26.1%),Burundian_1,85
British Columbia / Colombie-Britannique ( 26.1%),Eritrean_1,550
British Columbia / Colombie-Britannique ( 26.1%),Ethiopian_1,930
British Columbia / Colombie-Britannique ( 26.1%),Harari_1,0
British Columbia / Colombie-Britannique ( 26.1%),Kenyan_1,455
British Columbia / Colombie-Britannique ( 26.1%),Malagasy_1,15
British Columbia / Colombie-Britannique ( 26.1%),Mauritian_1,260
British Columbia / Colombie-Britannique ( 26.1%),Oromo_1,45
British Columbia / Colombie-Britannique ( 26.1%),Rwandan_1,105
British Columbia / Colombie-Britannique ( 26.1%),Seychellois_1,20
British Columbia / Colombie-Britannique ( 26.1%),Somali_1,610
British Columbia / Colombie-Britannique ( 26.1%),South African_1,4910
British Columbia / Colombie-Britannique ( 26.1%),Tanzanian_1,220
British Columbia / Colombie-Britannique ( 26.1%),Tigrian_1,65
British Columbia / Colombie-Britannique ( 26.1%),Ugandan_1,285
British Columbia / Colombie-Britannique ( 26.1%),Zambian_1,90
British Columbia / Colombie-Britannique ( 26.1%),Zimbabwean_1,370
British Columbia / Colombie-Britannique ( 26.1%),Zulu_1,30
British Columbia / Colombie-Britannique ( 26.1%),"Southern and East African origins, n.i.e._1",610
British Columbia / Colombie-Britannique ( 26.1%),Other African origins_1,8050
British Columbia / Colombie-Britannique ( 26.1%),"Black, n.o.s._1",945
British Columbia / Colombie-Britannique ( 26.1%),"Other African origins, n.i.e._1",7160
British Columbia / Colombie-Britannique ( 26.1%),Asian origins_1,535825
British Columbia / Colombie-Britannique ( 26.1%),West Central Asian and Middle Eastern origins_1,39545
British Columbia / Colombie-Britannique ( 26.1%),Afghan_1,2660
British Columbia / Colombie-Britannique ( 26.1%),"Arab, n.o.s._1",3180
British Columbia / Colombie-Britannique ( 26.1%),Armenian_1,1470
British Columbia / Colombie-Britannique ( 26.1%),Assyrian_1,240
British Columbia / Colombie-Britannique ( 26.1%),Azerbaijani_1,400
British Columbia / Colombie-Britannique ( 26.1%),Georgian_1,285
British Columbia / Colombie-Britannique ( 26.1%),Iranian_1,19760
British Columbia / Colombie-Britannique ( 26.1%),Iraqi_1,1680
British Columbia / Colombie-Britannique ( 26.1%),Israeli_1,580
British Columbia / Colombie-Britannique ( 26.1%),Jordanian_1,300
British Columbia / Colombie-Britannique ( 26.1%),Kazakh_1,105
British Columbia / Colombie-Britannique ( 26.1%),Kurd_1,810
British Columbia / Colombie-Britannique ( 26.1%),Kuwaiti_1,100
British Columbia / Colombie-Britannique ( 26.1%),Lebanese_1,3205
British Columbia / Colombie-Britannique ( 26.1%),Palestinian_1,935
British Columbia / Colombie-Britannique ( 26.1%),Pashtun_1,160
British Columbia / Colombie-Britannique ( 26.1%),Saudi Arabian_1,900
British Columbia / Colombie-Britannique ( 26.1%),Syrian_1,960
British Columbia / Colombie-Britannique ( 26.1%),Tajik_1,215
British Columbia / Colombie-Britannique ( 26.1%),Tatar_1,155
British Columbia / Colombie-Britannique ( 26.1%),Turk_1,2960
British Columbia / Colombie-Britannique ( 26.1%),Uighur_1,50
British Columbia / Colombie-Britannique ( 26.1%),Uzbek_1,125
British Columbia / Colombie-Britannique ( 26.1%),Yemeni_1,125
British Columbia / Colombie-Britannique ( 26.1%),"West Central Asian and Middle Eastern origins, n.i.e._1",805
British Columbia / Colombie-Britannique ( 26.1%),South Asian origins_1,156025
British Columbia / Colombie-Britannique ( 26.1%),Bangladeshi_1,640
British Columbia / Colombie-Britannique ( 26.1%),Bengali_1,335
British Columbia / Colombie-Britannique ( 26.1%),East Indian_1,137090
British Columbia / Colombie-Britannique ( 26.1%),Goan_1,150
British Columbia / Colombie-Britannique ( 26.1%),Gujarati_1,245
British Columbia / Colombie-Britannique ( 26.1%),Kashmiri_1,30
British Columbia / Colombie-Britannique ( 26.1%),Nepali_1,575
British Columbia / Colombie-Britannique ( 26.1%),Pakistani_1,5175
British Columbia / Colombie-Britannique ( 26.1%),Punjabi_1,12115
British Columbia / Colombie-Britannique ( 26.1%),Sinhalese_1,310
British Columbia / Colombie-Britannique ( 26.1%),Sri Lankan_1,2690
British Columbia / Colombie-Britannique ( 26.1%),Tamil_1,645
British Columbia / Colombie-Britannique ( 26.1%),"South Asian origins, n.i.e._1",2275
British Columbia / Colombie-Britannique ( 26.1%),East and Southeast Asian origins_1,342835
British Columbia / Colombie-Britannique ( 26.1%),Burmese_1,1025
British Columbia / Colombie-Britannique ( 26.1%),Cambodian (Khmer)_1,1195
British Columbia / Colombie-Britannique ( 26.1%),Chinese_4,220435
British Columbia / Colombie-Britannique ( 26.1%),Filipino_4,58500
British Columbia / Colombie-Britannique ( 26.1%),Hmong_1,115
British Columbia / Colombie-Britannique ( 26.1%),Indonesian_1,2690
British Columbia / Colombie-Britannique ( 26.1%),Japanese_4,19985
British Columbia / Colombie-Britannique ( 26.1%),Korean_4,26155
British Columbia / Colombie-Britannique ( 26.1%),Laotian_1,970
British Columbia / Colombie-Britannique ( 26.1%),Malaysian_1,1985
British Columbia / Colombie-Britannique ( 26.1%),Mongolian_1,605
British Columbia / Colombie-Britannique ( 26.1%),Singaporean_1,460
British Columbia / Colombie-Britannique ( 26.1%),Taiwanese_1,8240
British Columbia / Colombie-Britannique ( 26.1%),Thai_1,1495
British Columbia / Colombie-Britannique ( 26.1%),Tibetan_1,175
British Columbia / Colombie-Britannique ( 26.1%),Vietnamese_1,16970
British Columbia / Colombie-Britannique ( 26.1%),"East and Southeast Asian origins, n.i.e._1",620
British Columbia / Colombie-Britannique ( 26.1%),Other Asian origins_1,970
British Columbia / Colombie-Britannique ( 26.1%),"Other Asian origins, n.i.e._1",970
British Columbia / Colombie-Britannique ( 26.1%),Oceania origins_1,17430
British Columbia / Colombie-Britannique ( 26.1%),Australian_1,6350
British Columbia / Colombie-Britannique ( 26.1%),New Zealander_1,2805
British Columbia / Colombie-Britannique ( 26.1%),Pacific Islands origins_1,8475
British Columbia / Colombie-Britannique ( 26.1%),Fijian_1,6760
British Columbia / Colombie-Britannique ( 26.1%),Hawaiian_1,925
British Columbia / Colombie-Britannique ( 26.1%),Maori_1,350
British Columbia / Colombie-Britannique ( 26.1%),"Polynesian, n.o.s._1",180
British Columbia / Colombie-Britannique ( 26.1%),Samoan_1,210
British Columbia / Colombie-Britannique ( 26.1%),"Pacific Islands origins, n.i.e._1",215
British Columbia / Colombie-Britannique ( 26.1%),Females in private households by ethnic origins,2198830
British Columbia / Colombie-Britannique ( 26.1%),North American Aboriginal origins_2,138210
British Columbia / Colombie-Britannique ( 26.1%),First Nations (North American Indian)_2,104720
British Columbia / Colombie-Britannique ( 26.1%),Inuit_2,1335
British Columbia / Colombie-Britannique ( 26.1%),M<e9>tis_2,36665
British Columbia / Colombie-Britannique ( 26.1%),Other North American origins_2,443570
British Columbia / Colombie-Britannique ( 26.1%),Acadian_2,1640
British Columbia / Colombie-Britannique ( 26.1%),American_2,40135
British Columbia / Colombie-Britannique ( 26.1%),Canadian_2,414125
British Columbia / Colombie-Britannique ( 26.1%),New Brunswicker_2,15
British Columbia / Colombie-Britannique ( 26.1%),Newfoundlander_2,615
British Columbia / Colombie-Britannique ( 26.1%),Nova Scotian_2,75
British Columbia / Colombie-Britannique ( 26.1%),Ontarian_2,55
British Columbia / Colombie-Britannique ( 26.1%),Qu<e9>b<e9>cois_2,795
British Columbia / Colombie-Britannique ( 26.1%),"Other North American origins, n.i.e._2",355
British Columbia / Colombie-Britannique ( 26.1%),European origins_2,1424990
British Columbia / Colombie-Britannique ( 26.1%),British Isles origins_2,968745
British Columbia / Colombie-Britannique ( 26.1%),Channel Islander_2,185
